productID,name,Type,Brand,Year,Value,Info,Link
1234,Jordan Retro 11,High,Jordans,1996,225,Basketball,https://www.footlocker.com/product/jordan-retro-11-mens/C8012116.html
1111,Nike Air Max 95 Essential,Low,Nike,1995,175,Sports and Casual,https://www.footlocker.com/product/nike-air-max-95-essential-mens/M0011002.html'
1231,Adipower Weightlifting 3,Low,Adidas,2020,165,Weightlifting and Workout,https://www.adidas.com/us/adipower-weightlifting-3-shoes/GY8926.html
1221,Made in UK 920,Low,New Balance,2021,250,Casual Sneakers,https://www.newbalance.com/pd/made-in-uk-920/ML920V1-37395.html
4444,FORUM HI GORE-TEX,High,Adidas,2018,160,Basketball,https://www.adidas.com/us/forum-hi-gore-tex-shoes/Q46363.html
5555,TERREX CONRAX BOA RAIN.RDY,High,Adidas,2015,275,Hiking and Outdoor,https://www.adidas.com/us/terrex-conrax-boa-rain.rdy-hiking-shoes/GY1156.html
6666,MAHOMES 1 IMPACT FLX PLAY TIME,Low,Adidas,2016,140,Weightlifting and Workout,https://www.adidas.com/us/mahomes-1-impact-flx-play-time/HR0436.html
7777,Tekela v4 Pro FG,Low,New Balance,2020,215,Soccer,https://www.newbalance.com/pd/tekela-v4-pro-fg/ST1FV4-41607.html
8888,FuelCell SuperComp SD-X,Low,New Balance,2021,180,Running and Fitness,https://www.newbalance.com/pd/fuelcell-supercomp-sd-x/USDELRV2-40672.html
9999,ALD x New Balance Rainier,High,New Balance,2016,200,Mountain Climbing,https://www.newbalance.com/pd/ald-x-new-balance-rainier/URAINXV1-42787.html
1010,Nike Air Zoom Alphafly NEXT2,Low,Nike,2020,285,Running and Fitness,https://www.nike.com/t/air-zoom-alphafly-next-2-mens-road-racing-shoes-Bstm8X/DZ4784-304
1236,ACG Zoom Gaiadome GORE-TEX,High,Nike,2018,225,Hiking and Outdoor,https://www.nike.com/launch/t/acg-zoom-gaiadome-gore-tex-trails-end-brown
1445,Nike Zoom LeBron 2,High,Nike,2010,210,Basketball,https://www.nike.com/t/zoom-lebron-2-mens-shoes-Ln9VcN/DR0826-100
5253,Air Jordan 1 Element,High,Jordans,2020,200,Basketball,https://www.nike.com/t/air-jordan-1-element-shoes-NFCNts/DB2889-700
7875,adidas Terrex Free Hiker Cold.RDY,High,Adidas,2014,260,Hiking and Outdoor,https://www.footlocker.com/product/adidas-terrex-free-hiker-cold-rdy-mens/FU7217.html
4142,adidas Ultraboost 22 GTX,Low,Adidas,2022,230,Running and Fitness,https://www.footlocker.com/product/adidas-ultraboost-22-gtx-mens/GX9126.html
6369,Nike Air Vapormax Plus,Low,Nike,2017,210,Sports and Casual,https://www.footlocker.com/product/nike-air-vapormax-plus-mens/Z4857001.html
1239,Jordan Retro 6 Low,Low,Jordans,1991,200,Basketball and Casual,https://www.footlocker.com/product/jordan-retro-6-low-mens/H6928073.html
2255,New Balance 990V6 D,Low,New Balance,2010,200,Running and Fitness,https://www.footlocker.com/product/new-balance-990v6-d-mens/M990GL6.html
